"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","ID"
"1571","Need for Speed Rivals","PS3","2013","Racing","Electronic Arts",0.33,0.69,0.05,0.19,1.27,80,6,"4.9",123,"Ghost Games","E10+",1017
"1572","EA Sports Active 2","Wii","2010","Sports","Electronic Arts",0.76,0.39,0,0.11,1.26,79,8,"8.1",22,"EA Canada","E",1018
"1573","Rockstar Games presents Table Tennis","Wii","2007","Sports","Take-Two Interactive",0.39,0.72,0,0.15,1.26,68,36,"5.8",21,"Rockstar San Diego","E",1019
"1575","Football Manager 2011","PC","2010","Sports","Sega",0,1.01,0,0.25,1.26,85,23,"8.4",77,"Sports Interactive","E",1020
"1579","Tamagotchi Connection: Corner Shop","DS","2005","Simulation","Atari",0.1,0.02,1.12,0.01,1.26,59,20,"7.7",6,"NanaOn-Sha","E",1021
"1580","Tomb Raider: Underworld","PS3","2008","Action","Eidos Interactive",0.45,0.55,0.05,0.22,1.26,75,42,"7.2",166,"Nixxes Software","T",1022
"1582","LEGO Battles","DS","2009","Strategy","Warner Bros. Interactive Entertainment",0.77,0.37,0,0.11,1.25,65,29,"8.9",51,"Hellbent Games","E",1023
"1583","NBA Live 2001","PS","2000","Sports","Electronic Arts",0.7,0.47,0,0.08,1.25,86,10,"8",6,"EA Sports","E",1024
"1584","Saints Row IV","PS3","2013","Action","Deep Silver",0.56,0.41,0.09,0.19,1.25,76,26,"6.3",278,"Volition Inc.","M",1025
"1585","Star Wars: The Force Unleashed","PS2","2008","Action","LucasArts",0.49,0,0.01,0.75,1.25,68,7,"7.4",33,"Krome Studios","T",1026
"1588","SOCOM: U.S. Navy SEALs Confrontation","PS3","2008","Shooter","Sony Computer Entertainment",0.94,0.16,0.02,0.13,1.25,63,64,"6.9",223,"Slant Six","M",1027
"1592","Need for Speed: Most Wanted","X360","2005","Racing","Electronic Arts",1,0.13,0.02,0.1,1.25,83,54,"8.5",134,"EA Canada","T",1028
"1593","Pokemon XD: Gale of Darkness","GC","2005","Role-Playing","Nintendo",0.71,0.19,0.31,0.03,1.25,64,27,"8.3",74,"Genius Sonority Inc.","E",1029
"1594","Black","PS2","2006","Shooter","Electronic Arts",1.01,0.04,0.03,0.16,1.25,79,62,"8.4",194,"Criterion Games","M",1030
"1595","Tom Clancy's Rainbow Six: Vegas","PS3","2007","Shooter","Ubisoft",0.47,0.53,0.03,0.22,1.25,86,32,"7.6",81,"Ubisoft Montreal","M",1031
"1596","LittleBigPlanet PS Vita","PSV","2012","Platform","Sony Computer Entertainment",0.35,0.61,0.02,0.27,1.25,88,71,"8.6",348,"Tarsier Studios, Double Eleven","E",1032
"1597","Pokemon Super Mystery Dungeon","3DS","2015","Role-Playing","Nintendo",0.48,0.35,0.34,0.08,1.25,69,44,"8.8",190,"Spike Chunsoft Co. Ltd., Spike Chunsoft","E",1033
"1598","RollerCoaster Tycoon 2","PC","2002","Strategy","Atari",1.19,0.05,0,0,1.25,74,22,"8.5",135,"Chris Sawyer","E",1034
"1600","Lara Croft Tomb Raider: The Angel of Darkness","PS2","2003","Action","Eidos Interactive",0.61,0.48,0,0.16,1.25,52,37,"6.2",106,"Core Design Ltd.","T",1035
"1601","Tom Clancy's Splinter Cell: Pandora Tomorrow","PS2","2004","Action","Ubisoft",0.52,0.56,0,0.17,1.25,87,45,"8.6",34,"Ubisoft Shanghai","T",1036
"1603","Ratchet: Deadlocked","PS2","2005","Shooter","Sony Computer Entertainment",0.85,0.03,0.22,0.14,1.24,81,51,"8.9",155,"Insomniac Games","T",1037
"1604","Winter Sports: The Ultimate Challenge","Wii","2007","Sports","RTL",0.45,0.67,0,0.12,1.24,52,15,"6.8",4,"49Games","E",1038
"1605","Baldur's Gate: Dark Alliance","PS2","2001","Role-Playing","Virgin Interactive",0.61,0.48,0,0.16,1.24,87,29,"8.3",90,"Snowblind Studios","T",1039
"1606","Oddworld: Abe's Oddysee","PS","1997","Platform","GT Interactive",0.75,0.44,0,0.06,1.24,85,10,"9",96,"Oddworld Inhabitants","T",1040
"1607","Ridge Racer V","PS2","2000","Action","Namco Bandai Games",0.24,0.19,0.75,0.06,1.24,78,20,"7.7",6,"Namco","E",1041
"1608","WWE SmackDown vs. Raw 2009","PS2","2008","Fighting","THQ",0.69,0,0,0.55,1.24,78,9,"6.9",34,"Yuke's","T",1042
"1610","LEGO Harry Potter: Years 5-7","Wii","N/A","Action","Warner Bros. Interactive Entertainment",0.69,0.42,0,0.12,1.24,76,8,"7.8",13,"Traveller's Tales","E10+",1043
"1611","Star Wars Episode III: Revenge of the Sith","XB","2005","Action","Activision",0.82,0.38,0,0.04,1.24,61,44,"8.1",54,"Double Helix Games","T",1044
"1612","[Prototype]","PS3","2009","Action","Activision",0.65,0.4,0,0.19,1.24,79,53,"7.7",308,"Radical Entertainment","M",1045
"1614","FIFA Street","PS3","2012","Sports","Electronic Arts",0.12,0.89,0,0.23,1.23,76,36,"6.4",66,"EA Sports","E",1046
"1615","Frogger: The Great Quest","PS2","2001","Platform","Konami Digital Entertainment",0.6,0.47,0,0.16,1.23,32,6,"4.6",29,"Konami","E",1047
"1616","Madden NFL 17","XOne","2016","Sports","Electronic Arts",1.08,0.02,0,0.13,1.23,83,30,"5.9",39,"EA Sports","E",1048
"1617","Ninja Gaiden","XB","2004","Action","Microsoft Game Studios",0.92,0.2,0.07,0.04,1.23,91,89,"8.8",152,"Team Ninja","M",1049
"1619","Crash Bandicoot: The Wrath of Cortex","XB","2002","Platform","Universal Interactive",0.59,0.57,0,0.07,1.23,70,16,"8.1",19,"Traveller's Tales","E",1050
"1620","Driv3r","PS2","2004","Racing","Atari",0.6,0.47,0,0.16,1.23,57,51,"5.5",102,"Reflections Interactive","M",1051
"1621","Assassin's Creed: Bloodlines","PSP","2009","Action","Ubisoft",0.43,0.47,0.05,0.28,1.23,63,38,"7.2",69,"Griptonite Games","M",1052
"1624","LEGO The Lord of the Rings","X360","2012","Action","Warner Bros. Interactive Entertainment",0.64,0.49,0,0.11,1.23,80,49,"8.5",73,"TT Games","E10+",1053
"1628","Hyrule Warriors","WiiU","2014","Action","Nintendo",0.58,0.42,0.13,0.1,1.23,76,81,"8.3",662,"Omega Force","T",1054
"1630","Donkey Kong Country 2","GBA","2004","Platform","Nintendo",0.79,0.27,0.12,0.04,1.23,80,22,"9.1",37,"Rare Ltd.","E",1055
"1631","Guitar Hero: Aerosmith","X360","2008","Misc","Activision",1,0.13,0,0.1,1.23,70,59,"6.7",48,"Neversoft Entertainment","T",1056
"1633","Need for Speed Carbon","PS3","2006","Racing","Electronic Arts",0.49,0.5,0.03,0.2,1.23,75,31,"7.3",42,"EA Canada","E10+",1057
"1634","Ben 10: Protector of Earth","Wii","2007","Action","D3Publisher",0.54,0.55,0,0.13,1.23,63,6,"7.7",9,"High Voltage Software","E10+",1058
"1635","2010 FIFA World Cup South Africa","PS3","2010","Sports","Electronic Arts",0.3,0.64,0.07,0.22,1.23,82,56,"7.8",57,"EA Canada","E",1059
"1636","Tales of Xillia","PS3","2011","Role-Playing","Namco Bandai Games",0.29,0.18,0.67,0.09,1.22,78,65,"8.2",468,"Bandai Namco Games","T",1060
"1637","Diddy Kong Racing DS","DS","2007","Racing","Nintendo",1.09,0.03,0,0.09,1.22,63,39,"7.5",27,"Rare Ltd.","E",1061
"1638","Mario Power Tennis","GC","2004","Sports","Nintendo",0.58,0.16,0.46,0.03,1.22,80,43,"8.5",48,"Camelot Software Planning","E",1062
"1646","Golden Sun: The Lost Age","GBA","2002","Role-Playing","Nintendo",0.61,0.27,0.27,0.07,1.22,86,29,"9.5",150,"Camelot Software Planning","E",1063
"1648","Max Payne","XB","2001","Shooter","Take-Two Interactive",0.98,0.19,0,0.05,1.22,89,24,"8.3",61,"neo Software","M",1064
"1650","NBA 2K2","PS2","2002","Sports","Sega",0.59,0.46,0.01,0.15,1.22,89,19,"7.8",16,"Visual Concepts","E",1065
"1651","NASCAR Thunder 2003","PS2","N/A","Racing","Unknown",0.6,0.46,0,0.16,1.22,84,16,"8.7",17,"EA Sports","E",1066
"1652","Cars","PS2","2006","Racing","THQ",1.01,0.04,0,0.16,1.21,71,30,"8.4",12,"Rainbow Studios","E",1067
"1653","Fuzion Frenzy","XB","2001","Misc","Microsoft Game Studios",0.93,0.24,0,0.04,1.21,70,28,"6.9",16,"Blitz Games","E",1068
"1654","Call of Duty: Finest Hour","XB","2004","Shooter","Activision",0.78,0.4,0,0.04,1.21,73,55,"7.8",22,"Spark Unlimited","T",1069
"1655","Final Fantasy IV","DS","2007","Simulation","Square Enix",0.51,0.04,0.62,0.05,1.21,85,52,"7.7",164,"Matrix Software","E10+",1070
"1656","Star Wars: Battlefront II","PSP","2005","Shooter","LucasArts",1.05,0.05,0.01,0.1,1.21,69,22,"8.5",111,"Savage Entertainment","T",1071
"1657","Super Street Fighter IV: 3D Edition","3DS","2011","Fighting","Capcom",0.55,0.44,0.14,0.09,1.21,85,69,"8.1",206,"Capcom","T",1072
"1658","Sly Cooper and the Thievius Raccoonus","PS2","2002","Platform","Sony Computer Entertainment",1.03,0.14,0,0.04,1.21,86,41,"8.6",184,"Sucker Punch","E",1073
"1659","WWE 2K16","PS4","2015","Sports","Take-Two Interactive",0.41,0.6,0,0.2,1.21,73,47,"7.4",237,"Yuke's","T",1074
"1661","Dino Crisis 2","PS","2000","Action","Virgin Interactive",0.34,0.49,0.28,0.1,1.21,86,13,"9",91,"Capcom","M",1075
"1664","Need for Speed Underground","GC","2003","Racing","Electronic Arts",0.69,0.48,0.01,0.03,1.21,83,24,"9",45,"Electronic Arts","E",1076
"1665","Naruto Shippuden: Ultimate Ninja Storm 2","PS3","2010","Fighting","Namco Bandai Games",0.42,0.46,0.15,0.18,1.21,76,34,"8.3",130,"CyberConnect2","T",1077
"1666","Medal of Honor: Airborne","PS3","2007","Shooter","Electronic Arts",0.25,0.69,0.03,0.25,1.21,75,16,"7.6",39,"Electronic Arts","T",1078
"1667","Battlefield: Hardline","XOne","2015","Shooter","Electronic Arts",0.72,0.37,0.01,0.11,1.21,71,27,"5.1",299,"Visceral Games","M",1079
"1669","Bayonetta","PS3","2009","Action","Sega",0.44,0.39,0.21,0.16,1.21,87,54,"7.7",355,"Nex Entertainment","M",1080
"1671","Boom Blox","Wii","2008","Puzzle","Electronic Arts",0.71,0.38,0,0.12,1.21,85,61,"8.6",105,"EA LA","E",1081
"1673","The Lord of the Rings: The Fellowship of the Ring","PS2","2002","Action","Black Label Games",0.59,0.46,0,0.15,1.2,59,19,"5.1",20,"Surreal Software","T",1082
"1674","The Sims 2: Castaway","Wii","2007","Simulation","Electronic Arts",0.44,0.63,0,0.14,1.2,73,19,"8.2",10,"Maxis","T",1083
"1676","ATV Offroad Fury 3","PS2","2004","Racing","SouthPeak Games",1,0.04,0,0.16,1.2,78,37,"8.4",16,"Climax Group","E",1084
"1677","F1 2011","PS3","2011","Racing","Codemasters",0.12,0.74,0.11,0.24,1.2,82,36,"7.1",55,"Codemasters","E",1085
"1679","Pikmin 2","GC","2004","Strategy","Nintendo",0.48,0.13,0.56,0.03,1.2,90,54,"9.1",137,"Nintendo","E",1086
"1685","Enter the Matrix","XB","2003","Action","Atari",0.72,0.43,0.01,0.04,1.2,65,33,"7.1",75,"Shiny Entertainment","T",1087
"1686","Cars","PSP","2006","Racing","THQ",0.72,0.28,0,0.2,1.2,70,17,"7",4,"Locomotive Games","E",1088
"1687","NHL 2002","PS2","2001","Sports","Electronic Arts",0.59,0.46,0,0.15,1.2,92,22,"8.5",26,"EA Sports","E",1089
"1688","FIFA Soccer 11","PSP","2010","Sports","Electronic Arts",0.13,0.69,0.01,0.36,1.2,68,6,"5.4",9,"EA Sports","E",1090
"1690","The Simpsons: Road Rage","GBA","2003","Racing","THQ",0.86,0.32,0,0.02,1.19,55,14,"6.8",9,"Altron","E",1091
"1691","LEGO Batman 2: DC Super Heroes","PS3","2012","Action","Warner Bros. Interactive Entertainment",0.5,0.5,0,0.19,1.19,81,28,"7.5",81,"Traveller's Tales","E10+",1092
"1692","Captain Toad: Treasure Tracker","WiiU","2014","Puzzle","Nintendo",0.53,0.38,0.19,0.09,1.19,81,78,"8.6",377,"Nintendo EAD Tokyo","E",1093
"1693","SpongeBob SquarePants: Revenge of the Flying Dutchman","GBA","2002","Platform","THQ",0.92,0.23,0,0.04,1.19,71,4,"7.7",7,"Vicarious Visions","E",1094
"1694","Pro Evolution Soccer 2008","Wii","2008","Sports","Konami Digital Entertainment",0.09,0.84,0.11,0.15,1.19,83,19,"8.4",43,"Konami","E",1095
"1695","Destiny: The Taken King","XOne","2015","Shooter","Activision",0.85,0.23,0,0.12,1.19,89,11,"5.2",393,"Bungie Software, Bungie","T",1096
"1696","Scarface: The World is Yours","PS2","2006","Action","Vivendi Games",0.99,0.04,0,0.16,1.19,75,46,"8.6",113,"Radical Entertainment","M",1097
"1700","Hitman 2: Silent Assassin","XB","N/A","Action","Eidos Interactive",0.76,0.38,0,0.05,1.19,84,23,"8",19,"Io Interactive","M",1098
"1702","WWE SmackDown vs Raw 2008","PSP","2007","Fighting","THQ",0.45,0.47,0,0.28,1.19,68,11,"7.8",15,"Yuke's","T",1099
"1703","Spider-Man: The Movie","GC","2002","Action","Activision",0.86,0.27,0.01,0.04,1.19,76,14,"7.3",11,"Treyarch","E",1100
"1705","Mario vs. Donkey Kong 2: March of the Minis","DS","2006","Puzzle","Nintendo",0.73,0.03,0.36,0.07,1.19,76,32,"7.9",17,"Nintendo, Nintendo Software Technology","E",1101
"1706","Metal Gear Solid: Portable Ops","PSP","2006","Action","Konami Digital Entertainment",0.38,0.35,0.38,0.08,1.18,87,54,"8.2",147,"Kojima Productions","M",1102
"1711","Injustice: Gods Among Us","PS3","2013","Fighting","Warner Bros. Interactive Entertainment",0.48,0.5,0.01,0.2,1.18,78,37,"7.9",282,"NetherRealm Studios","T",1103
"1713","Shenmue","DC","1999","Adventure","Sega",0.52,0.24,0.38,0.04,1.18,88,9,"9.4",201,"Sega AM2","T",1104
"1715","Just Dance 4","X360","2012","Misc","Ubisoft",0.9,0.19,0,0.09,1.18,77,23,"7.7",36,"Ubisoft","E10+",1105
"1716","Tony Hawk's Pro Skater 2","GBA","2001","Sports","Activision",0.85,0.31,0,0.02,1.18,95,16,"7.5",22,"Vicarious Visions","E",1106
"1717","One Piece: Pirate Warriors","PS3","2012","Action","Namco Bandai Games",0.01,0.23,0.86,0.08,1.18,64,33,"6.5",55,"Omega Force, Tecmo Koei Games","T",1107
"1720","Gun","PS2","2005","Shooter","Activision",0.98,0.04,0,0.16,1.17,77,43,"8.7",70,"Neversoft Entertainment","M",1108
"1721","Ty the Tasmanian Tiger","PS2","2002","Platform","Electronic Arts",0.57,0.45,0,0.15,1.17,70,14,"8.8",60,"Krome Studios","E",1109
"1722","Resident Evil: Operation Raccoon City","PS3","2012","Action","Capcom",0.48,0.24,0.36,0.1,1.17,52,36,"4.9",222,"Slant Six","M",1110
"1724","LEGO Indiana Jones: The Original Adventures","PSP","2008","Action","LucasArts",0.4,0.48,0,0.29,1.17,76,8,"7.6",11,"Traveller's Tales","E10+",1111
"1725","PokéPark Wii: Pikachu's Adventure","Wii","2009","Adventure","Nintendo",0.53,0.16,0.42,0.06,1.17,62,22,"7.2",36,"Creatures Inc.","E",1112
"1726","WWE '12","PS3","2011","Fighting","THQ",0.53,0.45,0.02,0.17,1.17,72,28,"6.9",80,"Yuke's","T",1113
"1730","Cabela's Dangerous Hunts","PS2","2003","Sports","Zoo Digital Publishing",0.57,0.45,0,0.15,1.17,57,4,"8.4",37,"Sand Grain Studios","T",1114
"1731","Grand Theft Auto V","PC","2015","Action","Take-Two Interactive",0.39,0.69,0,0.09,1.17,96,57,"7.9",3756,"Rockstar North","M",1115
"1732","Fallout: New Vegas","PC","2010","Role-Playing","Bethesda Softworks",0.59,0.45,0,0.14,1.17,84,39,"8.6",2754,"Obsidian Entertainment","M",1116
"1734","WWE SmackDown vs. Raw 2010","PS3","2009","Fighting","THQ",0.48,0.48,0.01,0.2,1.17,81,38,"8.1",55,"Yuke's","T",1117
"1736","Medal of Honor: Rising Sun","XB","2003","Shooter","Electronic Arts",0.76,0.36,0,0.05,1.17,65,23,"5.8",28,"EA LA","T",1118
"1737","Army of Two","PS3","2008","Shooter","Electronic Arts",0.74,0.26,0.02,0.15,1.17,74,43,"7.3",118,"EA Montreal","M",1119
"1738","Spore","PC","2008","Strategy","Electronic Arts",0.03,1.06,0,0.08,1.17,84,75,"5.3",1711,"Maxis","E10+",1120
"1740","Mario vs. Donkey Kong","GBA","2004","Puzzle","Nintendo",0.68,0.25,0.21,0.02,1.17,81,43,"8",31,"Nintendo","E",1121
"1741","LEGO Star Wars III: The Clone Wars","PS3","2011","Action","LucasArts",0.52,0.46,0,0.19,1.16,76,36,"7.3",34,"Traveller's Tales","E10+",1122
"1742","Midnight Club 3: DUB Edition Remix","PS2","2006","Racing","Take-Two Interactive",0.97,0.04,0,0.16,1.16,85,19,"8.9",53,"Rockstar San Diego","E10+",1123
"1743","Tom Clancy's Ghost Recon: Jungle Storm","PS2","2004","Shooter","Ubisoft",0.57,0.44,0,0.15,1.16,70,31,"6.3",24,"Red Storm Entertainment","T",1124
"1744","Bushido Blade","PS","1997","Fighting","Sony Computer Entertainment",0.39,0.27,0.43,0.08,1.16,83,13,"7.9",16,"Light Weight","T",1125
"1745","Mirror's Edge","X360","2008","Platform","Electronic Arts",0.51,0.51,0.01,0.13,1.16,79,82,"7.6",328,"EA DICE","T",1126
"1746","Sonic the Hedgehog","PS3","2006","Platform","Sega",0.41,0.06,0.04,0.66,1.16,43,17,"4.1",176,"Sonic Team","E10+",1127
"1747","NASCAR Thunder 2002","PS2","2001","Racing","Electronic Arts",0.57,0.44,0,0.15,1.16,85,17,"8.5",22,"EA Sports","E",1128
"1753","Your Shape: Fitness Evolved 2012","X360","2011","Sports","Ubisoft",0.7,0.36,0,0.1,1.16,77,13,"7.6",21,"Ubisoft","E",1129
"1754","FIFA 14","XOne","2013","Sports","Electronic Arts",0.41,0.66,0,0.09,1.16,88,22,"5.8",328,"EA Canada","E",1130
"1755","Final Fantasy Tactics: The War of the Lions","PSP","2007","Role-Playing","Square Enix",0.45,0.24,0.3,0.16,1.16,88,41,"8",238,"TOSE","T",1131
"1757","Sniper: Ghost Warrior","X360","2010","Shooter","City Interactive",0.54,0.5,0,0.12,1.16,45,39,"5.8",89,"City Interactive","M",1132
"1758","Sonic Rush Adventure","DS","2007","Platform","Sega",0.53,0.48,0.01,0.12,1.15,78,32,"8.2",66,"Dimps Corporation","E",1133
"1759","Worldwide Soccer Manager 2009","PC","2008","Simulation","Sega",0,1.14,0,0.01,1.15,83,29,"8.1",30,"Sports Interactive","E",1134
"1760","Gauntlet: Dark Legacy","PS2","2001","Action","Midway Games",0.56,0.44,0,0.15,1.15,73,15,"8.3",30,"Midway","T",1135
"1761","Medal of Honor Heroes 2","PSP","2007","Shooter","Electronic Arts",0.5,0.39,0.02,0.25,1.15,69,20,"7.3",30,"EA LA","T",1136
"1762","Bad Boys: Miami Takedown","PS2","2004","Shooter","Empire Interactive",0.56,0.44,0,0.15,1.15,43,5,"3.4",13,"Blitz Games","M",1137
"1764","Football Manager 2013","PC","2012","Sports","Sega",0,0.95,0,0.21,1.15,86,37,"6.7",228,"Sports Interactive","",1138
"1766","Medal of Honor: Warfighter","X360","2012","Action","Electronic Arts",0.59,0.45,0.01,0.1,1.15,53,43,"5.4",437,"Danger Close","M",1139
"1771","FIFA Soccer 10","PSP","2009","Sports","Electronic Arts",0.15,0.67,0.01,0.31,1.15,83,9,"7.9",14,"EA Sports","E",1140
"1772","Donkey Konga","GC","2003","Misc","Nintendo",0.5,0.16,0.46,0.03,1.15,76,55,"8.3",21,"Namco","E",1141
"1773","Call of Duty 4: Modern Warfare","PC","2007","Shooter","Activision",0,1.12,0,0.03,1.15,92,40,"8.5",2360,"Infinity Ward","M",1142
"1775","Tak and the Power of Juju","PS2","2003","Platform","THQ",0.56,0.44,0,0.15,1.15,68,28,"9",28,"Avalanche Software","E",1143
"1776","WWE 2K15","PS4","2014","Sports","Take-Two Interactive",0.39,0.57,0,0.19,1.15,62,44,"5.1",164,"Yuke's","T",1144
"1780","Tenchu: Wrath of Heaven","PS2","2003","Action","Activision",0.44,0.34,0.25,0.11,1.14,79,33,"8.4",38,"K2 LLC","M",1145
"1781","Shadow of the Colossus","PS2","2005","Action","Sony Computer Entertainment",0.78,0.03,0.2,0.13,1.14,91,77,"9.1",933,"SCE Japan Studio","T",1146
"1782","Brave Fencer Musashi","PS","1998","Role-Playing","SquareSoft",0.25,0.17,0.65,0.07,1.14,81,12,"8.5",17,"SquareSoft","E",1147
"1783","Ninja Gaiden Sigma","PS3","2007","Action","Eidos Interactive",0.57,0.32,0.09,0.16,1.14,88,46,"7.5",155,"Team Ninja","M",1148
"1784","WWE 2K14","PS3","2013","Sports","Take-Two Interactive",0.49,0.46,0,0.19,1.14,74,22,"7.5",121,"Yuke's","T",1149
"1785","Pokemon Rumble Blast","3DS","2011","Action","Nintendo",0.47,0.26,0.35,0.07,1.14,56,36,"7.1",50,"Ambrella","E10+",1150
"1786","007: Quantum of Solace","PS3","2008","Action","Activision",0.43,0.51,0.02,0.19,1.14,65,42,"6.6",47,"Treyarch","T",1151
"1787","Dance Dance Revolution Extreme 2","PS2","2005","Simulation","Konami Digital Entertainment",0.95,0.04,0,0.16,1.14,76,27,"9",21,"Konami Computer Entertainment Hawaii","E10+",1152
"1793","The Lord of the Rings: The Return of the King","XB","2003","Action","Electronic Arts",0.71,0.38,0,0.05,1.14,84,31,"9.1",31,"EA Games","T",1153
"1795","Hot Shots Golf: Out of Bounds","PS3","2007","Sports","Sony Computer Entertainment",0.31,0.03,0.76,0.04,1.14,81,66,"8.8",32,"Clap Hanz","E",1154
"1799","Sunset Overdrive","XOne","2014","Shooter","Microsoft Game Studios",0.63,0.4,0,0.1,1.14,81,89,"7.7",1137,"Insomniac Games","M",1155
"1800","Mobile Suit Gundam: Federation vs. Zeon","PS2","2001","Simulation","Atari",0.12,0.1,0.88,0.03,1.14,73,15,"8.8",32,"Capcom","T",1156
"1802","Naruto Shippuden: Ultimate Ninja Storm 4","PS4","2016","Fighting","Namco Bandai Games",0.41,0.45,0.11,0.17,1.14,79,60,"8.2",201,"CyberConnect2","T",1157
"1803","MechAssault","XB","2002","Simulation","Microsoft Game Studios",1.01,0.1,0,0.03,1.13,87,32,"8",47,"Day 1 Studios","T",1158
"1806","Cars","GBA","2006","Racing","THQ",0.81,0.3,0,0.02,1.13,50,8,"4.7",6,"Helixe","E",1159
"1807","Watch Dogs 2","PS4","2016","Action","Ubisoft",0.37,0.58,0,0.18,1.13,83,88,"7.8",621,"Ubisoft Montreal","M",1160
"1808","LEGO Star Wars III: The Clone Wars","3DS","2011","Action","LucasArts",0.61,0.43,0,0.09,1.13,67,25,"6.1",31,"Traveller's Tales","E10+",1161
"1809","Tom Clancy's Rainbow Six 3: Black Arrow","XB","2004","Shooter","Ubisoft",0.99,0.12,0,0.02,1.13,84,55,"8.6",14,"Ubisoft Montreal","M",1162
"1811","Mirror's Edge","PS3","2008","Platform","Electronic Arts",0.31,0.58,0.02,0.22,1.13,79,66,"7.8",362,"EA DICE","T",1163
"1812","Guitar Hero 5","X360","2009","Misc","Activision",0.65,0.37,0,0.11,1.13,85,69,"6.8",108,"Neversoft Entertainment","T",1164
"1813","Alien: Isolation","PS4","2014","Shooter","Sega",0.34,0.57,0.04,0.17,1.13,79,50,"8.1",795,"Creative Assembly","M",1165
"1815","Fantasy Life","3DS","2012","Role-Playing","Nintendo",0.33,0.37,0.37,0.06,1.13,73,51,"8.6",209,"Level 5, Brownie Brown","E10+",1166
"1817","SingStar","PS3","2007","Misc","Sony Computer Entertainment",0.45,0.56,0,0.12,1.13,82,48,"5.9",15,"SCEE London Studio","T",1167
"1818","The Legend of Zelda: Tri Force Heroes","3DS","2015","Action","Nintendo",0.53,0.33,0.17,0.08,1.12,73,73,"7.6",179,"Nintendo","E",1168
"1820","Supercar Street Challenge","PS2","2001","Racing","Activision",0.55,0.43,0,0.14,1.12,57,15,"7.6",9,"Exakt","E",1169
"1822","Rabbids Go Home","Wii","2009","Platform","Ubisoft",0.25,0.74,0,0.14,1.12,78,50,"8.3",32,"Ubisoft Montpellier","E10+",1170
"1823","ModNation Racers","PS3","2010","Racing","Sony Computer Entertainment",0.5,0.4,0.06,0.16,1.12,82,85,"8.4",201,"United Front Games","E",1171
"1824","SOCOM: U.S. Navy SEALs Fireteam Bravo","PSP","2005","Shooter","Sony Computer Entertainment",1.03,0,0.01,0.08,1.12,82,44,"8.6",63,"Zipper Interactive","M",1172
"1825","Rocksmith","PS3","2011","Misc","Ubisoft",0.53,0.36,0.09,0.15,1.12,80,27,"8.3",52,"Ubisoft","T",1173
"1826","Call Of Duty 2: Big Red One","XB","2005","Shooter","Activision",0.66,0.4,0,0.05,1.12,78,46,"5.1",27,"Treyarch","T",1174
"1828","Rocksmith","X360","2011","Misc","Ubisoft",0.84,0.19,0.01,0.08,1.12,77,30,"8.2",62,"Ubisoft","T",1175
"1829","Guitar Hero 5","PS2","2009","Misc","Activision",0.28,0.3,0,0.54,1.12,71,4,"2.6",10,"BudCat","T",1176
"1830","Worldwide Soccer Manager 2008","PC","2007","Sports","Russel",0,1.12,0,0,1.12,86,15,"8",19,"Sports Interactive","E",1177
"1831","Yakuza 3","PS3","2009","Action","Sega",0.21,0.2,0.62,0.08,1.12,79,77,"8.1",165,"Ryu ga Gotoku Studios","M",1178
"1832","Persona 4: Golden","PSV","2012","Role-Playing","Atlus",0.36,0.23,0.38,0.15,1.12,93,61,"9.2",1228,"Atlus","M",1179
"1833","Spider-Man 2","XB","2004","Action","Activision",0.82,0.26,0,0.04,1.12,83,60,"8.3",40,"Treyarch","T",1180
"1834","Crackdown 2","X360","2010","Shooter","Microsoft Game Studios",0.63,0.36,0.02,0.1,1.12,70,91,"6",202,"Ruffian Games","M",1181
"1835","The Beatles: Rock Band","PS3","2009","Misc","MTV Games",0.67,0.29,0,0.15,1.12,88,60,"8.7",59,"Harmonix Music Systems","T",1182
"1836","Dragon Age II","X360","2011","Action","Electronic Arts",0.72,0.29,0.01,0.09,1.11,79,75,"4.5",2380,"BioWare","M",1183
"1837","Counter-Strike","XB","2003","Shooter","Microsoft Game Studios",0.85,0.23,0,0.04,1.11,74,38,"7.6",51,"Valve Software","M",1184
"1839","Guitar Hero Encore: Rocks The 80s","PS2","2007","Misc","RedOctane",0.92,0.04,0,0.15,1.11,69,50,"6.3",31,"Harmonix Music Systems","T",1185
"1840","Fight Night Champion","PS3","2011","Fighting","Electronic Arts",0.45,0.49,0,0.18,1.11,84,52,"7.3",95,"EA Canada","M",1186
"1841","Rock Band","PS2","N/A","Misc","Electronic Arts",0.71,0.06,0,0.35,1.11,82,8,"6.8",13,"Harmonix Music Systems","T",1187
"1842","Tom Clancy's Splinter Cell: Chaos Theory","XB","2005","Action","Ubisoft",0.68,0.38,0,0.05,1.11,94,70,"9",160,"Ubisoft Montreal","M",1188
"1847","Pikmin 3","WiiU","2013","Strategy","Nintendo",0.44,0.32,0.29,0.07,1.11,87,79,"8.7",664,"Nintendo","E10+",1189
"1848","WWE 2K14","X360","2013","Sports","Take-Two Interactive",0.64,0.37,0,0.1,1.11,75,43,"7.7",100,"Yuke's","T",1190
"1849","Dragon Ball: XenoVerse","PS4","2015","Fighting","Namco Bandai Games",0.3,0.52,0.12,0.16,1.11,69,50,"7.7",598,"Dimps Corporation","T",1191
