"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","ID"
"106","Fallout 4","PS4","2015","Role-Playing","Bethesda Softworks",2.53,3.27,0.24,1.13,7.16,87,58,"6.5",4228,"Bethesda Game Studios","M",70
"107","Tekken 3","PS","1998","Fighting","Sony Computer Entertainment",3.27,2.22,1.4,0.29,7.16,96,15,"9.1",367,"Namco","T",71
"108","The Legend of Zelda: Twilight Princess","Wii","2006","Action","Nintendo",3.74,2.14,0.6,0.68,7.15,95,73,"9",1658,"Nintendo","T",72
"110","Crash Bandicoot 3: Warped","PS","1998","Platform","Sony Computer Entertainment",3.68,1.75,1.42,0.28,7.13,91,12,"8.9",432,"Naughty Dog","E",73
"111","Mario Kart 8","WiiU","2014","Racing","Nintendo",3.15,2.15,1.28,0.51,7.09,88,82,"9.1",1599,"Nintendo","E",74
"112","Super Smash Bros. Melee","GC","2001","Fighting","Nintendo",4.41,1.04,1.39,0.22,7.07,92,38,"9.1",568,"HAL Labs","T",75
"114","Need for Speed Underground 2","PS2","2004","Racing","Electronic Arts",2.71,3.02,0.08,1.09,6.9,82,39,"8.6",132,"EA Canada","E",76
"115","Medal of Honor: Frontline","PS2","2002","Shooter","Electronic Arts",2.93,2.75,0.17,0.99,6.83,88,29,"8.5",135,"EA LA","T",77
"117","Just Dance 4","Wii","2012","Misc","Ubisoft",4.05,2.16,0,0.55,6.76,74,10,"7.3",28,"Ubisoft","E10+",78
"118","Gears of War 2","X360","2008","Shooter","Microsoft Game Studios",4.15,1.9,0.06,0.64,6.75,93,90,"7.7",2739,"Epic Games","M",79
"119","Uncharted 3: Drake's Deception","PS3","2011","Action","Sony Computer Entertainment",2.77,2.75,0.19,1.03,6.74,92,97,"8.3",3712,"Naughty Dog","T",80
"121","Call of Duty 4: Modern Warfare","PS3","2007","Shooter","Activision",3.11,2.26,0.28,1.03,6.68,94,44,"8.4",993,"Infinity Ward","M",81
"122","Uncharted 2: Among Thieves","PS3","2009","Action","Sony Computer Entertainment",3.27,2.2,0.21,0.98,6.66,96,105,"8.8",5187,"Naughty Dog","T",82
"124","Big Brain Academy","DS","2005","Misc","Nintendo",1.66,2.75,1.6,0.62,6.62,74,45,"7.4",27,"Nintendo","E",83
"126","Red Dead Redemption","PS3","2010","Action","Take-Two Interactive",2.79,2.53,0.17,0.99,6.49,95,73,"8.8",2456,"Rockstar San Diego","M",84
"127","FIFA 14","PS3","2013","Sports","Electronic Arts",0.78,4.24,0.07,1.37,6.47,86,37,"4.3",576,"EA Canada","E",85
"128","Assassin's Creed III","PS3","2012","Action","Ubisoft",2.64,2.52,0.16,1.12,6.45,85,41,"6.9",1307,"Ubisoft","M",86
"129","Donkey Kong Country Returns","Wii","2010","Platform","Nintendo",3.17,1.79,1.03,0.46,6.44,87,77,"8.6",368,"Retro Studios","E",87
"130","Halo: Combat Evolved","XB","2001","Shooter","Microsoft Game Studios",4.98,1.3,0.08,0.07,6.43,97,68,"8.6",1283,"Bungie Software","M",88
"131","The Elder Scrolls V: Skyrim","PS3","2011","Role-Playing","Bethesda Softworks",2.55,2.6,0.25,1,6.41,92,16,"6.4",2527,"Bethesda Game Studios","M",89
"132","Pokémon Emerald Version","GBA","2004","Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41,76,28,"9",222,"Game Freak","E",90
